Model num,Fitness,Model,generation,ofv,success,covar,correlation #,ntheta,condition,RPenalty,PythonPenalty,NMTran messages
4,4946.138450,111110,4,4726.138450226663,True,True,True,7,8807287.627976008,0,,From saved model No important warnings
5,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
6,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
7,4946.138450,111110,4,4726.138450226663,True,True,True,7,8807287.627976008,0,,From saved model No important warnings
8,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
9,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
10,4946.138450,111110,4,4726.138450226663,True,True,True,7,8807287.627976008,0,,From saved model No important warnings
11,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
11,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
9,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
9,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,,From saved model No important warnings
10,4946.138450,111110,4,4726.138450226663,True,True,True,7,8807287.627976008,0,,From saved model No important warnings
10,4946.138450,111110,4,4726.138450226663,True,True,True,7,8807287.627976008,0,,From saved model No important warnings
1,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,0,No important warnings
1,4836.178086,011110,4,4726.178086012689,True,True,True,6,58.99736007089474,0,0,No important warnings
2,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,0,No important warnings
4,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
3,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,0,No important warnings
0,5673.451399,101011,5,5583.451398779233,True,True,True,6,72.1701345146513,0,0,No important warnings
